id,时间戳,传感器名称,传感器类型,状态,级别,描述,事件码,处理建议
89,2023/03/01 09:57:52,CPU1_B1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
88,2023/03/01 09:57:52,CPU1_B0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
87,2023/03/01 09:57:52,CPU1_A1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
86,2023/03/01 09:57:52,CPU1_A0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
85,2023/03/01 09:56:55,CPU4_Status,Processor,Triggered,Info,"Processor Presence detected",0x077000de,""
84,2023/03/01 09:56:55,CPU3_Status,Processor,Triggered,Info,"Processor Presence detected",0x077000de,""
83,2023/03/01 09:56:55,CPU2_Status,Processor,Triggered,Info,"Processor Presence detected",0x077000de,""
82,2023/03/01 09:56:55,CPU1_Status,Processor,Triggered,Info,"Processor Presence detected",0x077000de,""
81,2023/03/01 09:56:53,Disk_F7_Status,Drive Slot (Bay),Triggered,Info,"Drive Presence",0x0d0000de,""
80,2023/03/01 09:56:53,Disk_F6_Status,Drive Slot (Bay),Triggered,Info,"Drive Presence",0x0d0000de,""
79,2023/03/01 09:56:53,Disk_F5_Status,Drive Slot (Bay),Triggered,Info,"Drive Presence",0x0d0000de,""
78,2023/03/01 09:56:53,Disk_F4_Status,Drive Slot (Bay),Triggered,Info,"Drive Presence",0x0d0000de,""
77,2023/03/01 09:56:53,Disk_F3_Status,Drive Slot (Bay),Triggered,Info,"Drive Presence",0x0d0000de,""
76,2023/03/01 09:56:53,Disk_F2_Status,Drive Slot (Bay),Triggered,Info,"Drive Presence",0x0d0000de,""
75,2023/03/01 09:56:53,Disk_F1_Status,Drive Slot (Bay),Triggered,Info,"Drive Presence",0x0d0000de,""
74,2023/03/01 09:56:53,Disk_F0_Status,Drive Slot (Bay),Triggered,Info,"Drive Presence",0x0d0000de,""
73,2023/03/01 09:56:46,ACPI_State,System ACPI Power State,Triggered,Info,"LPC Reset occurred",0x22d000de,"The server was reset.
This message is available only for servers that use Intel processors.
No action is required."
72,2023/03/01 09:56:43,ACPI_State,System ACPI Power State,Triggered,Info,"S0 / G0 "working"",0x220000de,"The system is operating correctly.
G(0-2) indicate the global states. S(0-5) indicate the sleep states.
No action is required."
71,2023/03/01 09:56:41,FAN4_D_R_Status,Fan,Triggered,Info,"Transition to Running",0x04000014,"This message is generated when a fan started to operate correctly. No action is required."
70,2023/03/01 09:56:41,FAN4_D_F_Status,Fan,Triggered,Info,"Transition to Running",0x04000014,"This message is generated when a fan started to operate correctly. No action is required."
69,2023/03/01 09:56:41,FAN4_U_R_Status,Fan,Triggered,Info,"Transition to Running",0x04000014,"This message is generated when a fan started to operate correctly. No action is required."
68,2023/03/01 09:56:40,FAN4_U_F_Status,Fan,Triggered,Info,"Transition to Running",0x04000014,"This message is generated when a fan started to operate correctly. No action is required."
67,2023/03/01 09:56:40,FAN3_D_R_Status,Fan,Triggered,Info,"Transition to Running",0x04000014,"This message is generated when a fan started to operate correctly. No action is required."
66,2023/03/01 09:56:40,FAN3_D_F_Status,Fan,Triggered,Info,"Transition to Running",0x04000014,"This message is generated when a fan started to operate correctly. No action is required."
65,2023/03/01 09:56:40,FAN3_U_R_Status,Fan,Triggered,Info,"Transition to Running",0x04000014,"This message is generated when a fan started to operate correctly. No action is required."
64,2023/03/01 09:56:40,FAN3_U_F_Status,Fan,Triggered,Info,"Transition to Running",0x04000014,"This message is generated when a fan started to operate correctly. No action is required."
63,2023/03/01 09:56:40,FAN2_D_R_Status,Fan,Triggered,Info,"Transition to Running",0x04000014,"This message is generated when a fan started to operate correctly. No action is required."
62,2023/03/01 09:56:40,FAN2_D_F_Status,Fan,Triggered,Info,"Transition to Running",0x04000014,"This message is generated when a fan started to operate correctly. No action is required."
61,2023/03/01 09:56:40,FAN2_U_R_Status,Fan,Triggered,Info,"Transition to Running",0x04000014,"This message is generated when a fan started to operate correctly. No action is required."
60,2023/03/01 09:56:39,FAN2_U_F_Status,Fan,Triggered,Info,"Transition to Running",0x04000014,"This message is generated when a fan started to operate correctly. No action is required."
59,2023/03/01 09:56:39,FAN1_D_R_Status,Fan,Triggered,Info,"Transition to Running",0x04000014,"This message is generated when a fan started to operate correctly. No action is required."
58,2023/03/01 09:56:39,FAN1_D_F_Status,Fan,Triggered,Info,"Transition to Running",0x04000014,"This message is generated when a fan started to operate correctly. No action is required."
57,2023/03/01 09:56:39,FAN1_U_R_Status,Fan,Triggered,Info,"Transition to Running",0x04000014,"This message is generated when a fan started to operate correctly. No action is required."
56,2023/03/01 09:56:39,FAN1_U_F_Status,Fan,Triggered,Info,"Transition to Running",0x04000014,"This message is generated when a fan started to operate correctly. No action is required."
55,2023/03/01 09:56:36,PCIe_Riser4_PG,Chassis,Triggered,Info,"Transition to OK",0x1800000e,""
54,2023/03/01 09:56:36,PCIe_Riser1_PG,Chassis,Triggered,Info,"Transition to OK",0x1800000e,""
53,2023/03/01 09:56:35,PSU_Redundant,Power Supply,Triggered,Major,"Redundancy Lost",0x08100016,"The power supply redundancy was lost.
1. Verify that the environment is normal.
2. Verify that no power supply is removed.
3. Verify that the power supplies have good contacts with the power cords.
4. Verify that all power supplies are operating correctly.
5. If the issue persists, contact Technical Support."
52,1970/01/01 08:00:45,Button,Button / Switch,Triggered,Info,"Power Button pressed---Virtual button---Power on command",0x140000de,""
51,1970/01/01 08:00:44,PSU4_Status,Power Supply,Triggered,Major,"Power Supply input lost (AC/DC)",0x083000de,"The AC or DC power input is abnormal.
1. Verify that all power cords are not damaged and are correctly connected.
2. Verify that all power supplies are correctly installed.
3. Verify that the power supply fans are operating correctly.
4. Verify that the power input is normal.
5. If the issue persists, contact Technical Support."
50,1970/01/01 08:00:44,PSU4_Status,Power Supply,Triggered,Info,"Presence detected",0x080000de,""
49,1970/01/01 08:00:43,PSU3_Status,Power Supply,Triggered,Major,"Power Supply input lost (AC/DC)",0x083000de,"The AC or DC power input is abnormal.
1. Verify that all power cords are not damaged and are correctly connected.
2. Verify that all power supplies are correctly installed.
3. Verify that the power supply fans are operating correctly.
4. Verify that the power input is normal.
5. If the issue persists, contact Technical Support."
48,1970/01/01 08:00:43,PSU3_Status,Power Supply,Triggered,Info,"Presence detected",0x080000de,""
47,1970/01/01 08:00:43,PSU2_Status,Power Supply,Triggered,Info,"Presence detected",0x080000de,""
46,1970/01/01 08:00:43,PSU1_Status,Power Supply,Triggered,Info,"Presence detected",0x080000de,""
45,1970/01/01 08:00:43,CPU4_F1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
44,1970/01/01 08:00:43,CPU4_F0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
43,1970/01/01 08:00:43,CPU4_E1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
42,1970/01/01 08:00:43,CPU4_E0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
41,1970/01/01 08:00:43,CPU4_D1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
40,1970/01/01 08:00:43,CPU4_D0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
39,1970/01/01 08:00:43,CPU4_C1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
38,1970/01/01 08:00:43,CPU4_C0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
37,1970/01/01 08:00:43,CPU4_B1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
36,1970/01/01 08:00:42,CPU4_B0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
35,1970/01/01 08:00:42,CPU4_A1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
34,1970/01/01 08:00:42,CPU4_A0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
33,1970/01/01 08:00:42,CPU3_F1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
32,1970/01/01 08:00:42,CPU3_F0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
31,1970/01/01 08:00:42,CPU3_E1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
30,1970/01/01 08:00:42,CPU3_E0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
29,1970/01/01 08:00:42,CPU3_D1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
28,1970/01/01 08:00:42,CPU3_D0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
27,1970/01/01 08:00:42,CPU3_C1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
26,1970/01/01 08:00:42,CPU3_C0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
25,1970/01/01 08:00:41,CPU3_B1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
24,1970/01/01 08:00:41,CPU3_B0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
23,1970/01/01 08:00:41,CPU3_A1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
22,1970/01/01 08:00:41,CPU3_A0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
21,1970/01/01 08:00:41,CPU2_F1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
20,1970/01/01 08:00:41,CPU2_F0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
19,1970/01/01 08:00:41,CPU2_E1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
18,1970/01/01 08:00:41,CPU2_E0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
17,1970/01/01 08:00:41,CPU2_D1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
16,1970/01/01 08:00:41,CPU2_D0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
15,1970/01/01 08:00:41,CPU2_C1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
14,1970/01/01 08:00:40,CPU2_C0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
13,1970/01/01 08:00:40,CPU2_B1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
12,1970/01/01 08:00:40,CPU2_B0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
11,1970/01/01 08:00:40,CPU2_A1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
10,1970/01/01 08:00:40,CPU2_A0,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
9,1970/01/01 08:00:40,CPU1_F1,Memory,Triggered,Info,"Presence detected",0x0c6000de,""
8,1970/01/01 08:00:38,Health,Management Subsystem Health,Triggered,Info,"Management controller off-line---HDM cold reboot.---Adapter N/A has no response for 4 minutes",0x282000de,"This message is often generated when a user performs cold HDM reboot.
1. Review operation logs and verify if a cold reboot operation was performed by a user. If yes, wait for HDM to restart.
2. Verify if an AC lost event has occurred or the power cord is disconnected or faulty.
  a. If an AC lost event occurred or a power sypply fails or is faulty, replace the power supply.
  b. If the power cord is disconnected, reconnect the power cord.
  c. If the power cord is faulty, replace the power cord.
3. If the issue persists, contact Technical Support."
7,1970/01/01 08:00:38,System,System Boot / Restart Initiated,Triggered,Info,"System Restart---AC lost",0x1d7000de,"The system restarted.
No action is required."
6,2023/02/09 15:19:30,PSU3_Status,Power Supply,Triggered,Major,"Power Supply input lost (AC/DC)",0x083000de,"The AC or DC power input is abnormal.
1. Verify that all power cords are not damaged and are correctly connected.
2. Verify that all power supplies are correctly installed.
3. Verify that the power supply fans are operating correctly.
4. Verify that the power input is normal.
5. If the issue persists, contact Technical Support."
5,2023/02/09 15:19:30,PSU2_Status,Power Supply,Triggered,Major,"Power Supply input lost (AC/DC)",0x083000de,"The AC or DC power input is abnormal.
1. Verify that all power cords are not damaged and are correctly connected.
2. Verify that all power supplies are correctly installed.
3. Verify that the power supply fans are operating correctly.
4. Verify that the power input is normal.
5. If the issue persists, contact Technical Support."
4,2023/02/09 15:19:30,PSU1_Status,Power Supply,Triggered,Major,"Power Supply input lost (AC/DC)",0x083000de,"The AC or DC power input is abnormal.
1. Verify that all power cords are not damaged and are correctly connected.
2. Verify that all power supplies are correctly installed.
3. Verify that the power supply fans are operating correctly.
4. Verify that the power input is normal.
5. If the issue persists, contact Technical Support."
3,2023/02/09 15:19:26,ACPI_State,System ACPI Power State,Triggered,Info,"LPC Reset occurred",0x22d000de,"The server was reset.
This message is available only for servers that use Intel processors.
No action is required."
2,2023/02/09 15:19:23,PSU4_Status,Power Supply,Triggered,Major,"Power Supply input lost (AC/DC)",0x083000de,"The AC or DC power input is abnormal.
1. Verify that all power cords are not damaged and are correctly connected.
2. Verify that all power supplies are correctly installed.
3. Verify that the power supply fans are operating correctly.
4. Verify that the power input is normal.
5. If the issue persists, contact Technical Support."
1,2023/02/09 15:11:10,SEL_Status,Event Logging Disabled,Triggered,Info,"Log Area Reset/Cleared",0x102000de,"This message is displayed if all event logs are cleared.
No action is required."
